sw_version,company_short,theater,workgroup,issuesold,title,issues,feature,contract,company,report_date,tech,script_name,time,sr_id,_id,sr_severity,subtech,product_family
1.2.3,SHARED_SERV,APAC,NULL,Upgrade,DNA Centre Upgrade to version 1.2.3,Upgrade,SDA,201279632,SHARED_SERVICES,2018-08-15,DNA___Software_Defined_Access,sda_new_case_1,2018-08-15T00:46:35.822Z,685031432,5b7377ebdfb7d3001910e5dd,3,Appliance_sd_access,SDNMGMT
1.2.3,CISCO_SYS_INC,AMER,NULL,NULL,DN1-HW-APL // Upgrading issue.,Upgrade,SDA,NULL,CISCO_SYSTEMS_INC,2018-08-28,DNA___Software_Defined_Access,sda_new_case_1,2018-08-28T18:00:05.495Z,685116736,5b858da515787000152ed1e8,3,Appliance_sd_access,NULL
1.2.3,NULL,AMER,US-SSPT-DNA,NULL,Upgrade DNAC software,Upgrade,SDA,95758867,UNIVERSITY_OF_OKLAHOMAREO_WAREHOUSE,2018-09-06,DNA - Software-Defined Access,sda_closed_case_1,2018-09-06T17:05:56.773Z,685134267,5b915e740234340014916229,NULL,DNA_Center_Appliance__SD_Access_,SDNMGMT
1.2.3,DEL_NORTE_COUNTY_UNIFIED_SCHOO*,AMER,NULL,NULL,Upgrade DNA Center to 1.2.3,Upgrade,SDA,201447077,DEL_NORTE_COUNTY_UNIFIED_SCHOOL_DISTRICT,2018-09-05,DNA___Software_Defined_Access,sda_new_case_1,2018-09-05T20:26:26.158Z,685167238,5b903bf2022a4e0013595fd3,3,Assurance,SDNMGMT
1.2.3,COUNTY_OF_DALLAS,AMER,NULL,Upgrade,Upgrade DNA,Upgrade,SDA,200497303,COUNTY_OF_DALLAS,2018-08-16,DNA___Software_Defined_Access,sda_new_case_1,2018-08-16T16:44:07.526Z,685044654,5b75a9d77e8b460022a206f5,3,Assurance,SDNMGMT
1.2.3,AUGUSTA_UNI,AMER,NULL,NULL,Assustance with upgrade to DNAC 1.2.3,Upgrade,SDA,201470718,AUGUSTA_UNIVERSITY,2018-09-05,DNA___Software_Defined_Access,sda_new_case_1,2018-09-05T18:02:32.199Z,685165857,5b901a388a01cd0016a4fdd7,3,Appliance_sd_access,SDNMGMT
1.2.3,CISCO_EXTERNAL,AMER,NULL,Upgrade,DNA Center 1.2.3 upgrade,Upgrade,SDA,NULL,C3_TO_BE_ASSIGNED_CPR_COMPANY,2018-08-14,DNA___Software_Defined_Access,sda_new_case_1,2018-08-14T17:30:36.294Z,685028587,5b7311bc1814260016be2157,3,Appliance_sd_access,NULL
1.2.3,NULL,AMER,US-SSPT-DNA,Upgrade,Packages are failing to upgrade,Upgrade,SDA,201167042,WESTAR_ENERGY,2018-08-28,DNA - Software-Defined Access,sda_closed_case_1,2018-08-28T13:49:42.593Z,685010088,5b8552f62dffab00204beff6,NULL,DNA_Center_Appliance__SD_Access_,SDNMGMT
1.2.3,CONOCOPHILLIPS,EMEA,NULL,NULL,Upgrade DNAC 1.1.7 to latest version,Upgrade,SDA,201193101,CONOCOPHILLIPS,2018-08-28,DNA___Software_Defined_Access,sda_new_case_1,2018-08-28T08:14:22.138Z,685111910,5b85045e92406600230327c1,3,Appliance_sd_access,SDNMGMT
1.2.3,BELL_CANADA,AMER,NULL,NULL,DNAC Upgrade to 1.2.3,Upgrade,SDA,201068326,BELL_CANADA,2018-08-30,DNA___Software_Defined_Access,sda_new_case_1,2018-08-30T20:13:42.018Z,685136111,5b884ff6491310001be8db6d,3,Appliance_sd_access,SDNMGMT
1.2.2,UNITED_LEX,AMER,NULL,Upgrade,DNAC Installation Package Failed,Upgrade,SDA,200970371,UNITED_LEX,2018-08-01,DNA___Software_Defined_Access,sda_new_case_1,2018-08-01T19:47:37.414Z,684947450,5b620e590213a9002048dc88,3,Appliance_sd_access,SDNMGMT
1.2.2,OAKLAND_COUNTY,AMER,NULL,Upgrade,DNAC 1.2.2 App Updates Fail,Upgrade,SDA,201304461,OAKLAND_COUNTY,2018-07-19,DNA___Software_Defined_Access,sda_new_case_1,2018-07-19T12:51:22.809Z,684861733,5b50894a88da4300133eac71,3,Appliance_sd_access,SDNMGMT
1.2.2,NATIONALE_NEDERLANDEN,AMER,NULL,NULL,Upgrade to 1.2.4,Upgrade,SDA,201528531,NATIONALE_NEDERLANDEN,2018-09-18,DNA___Software_Defined_Access,sda_new_case_1,2018-09-18T20:49:32.379Z,685253929,5ba164dc16991c002223f34d,3,Appliance_sd_access,SDNMGMT
1.2.2,NWN_CORP,AMER,NULL,NULL,Demo Depot // SDA - DNA Center // upgrade issue from 1.22 to 1.23,Upgrade,SDA,NULL,NWN_CORPORATION,2018-09-10,DNA___Software_Defined_Access,sda_new_case_1,2018-09-10T15:57:11.307Z,685196055,5b969457cf3ce7001b4b8fe4,3,Appliance_sd_access,NULL
1.2.2,BT_ESPANA_SAU_RESALE,AMER,NULL,NULL,SDA/DNA Migration: Proactive Case Support,Upgrade,SDA,NULL,BT_ESPANA_SAU_RESALE,2018-08-31,DNA___Software_Defined_Access,sda_new_case_1,2018-08-31T14:23:00.037Z,685140673,5b894f44c012910021139f35,3,Appliance_sd_access,NULL
1.2.2,NULL,AMER,US-SSPT-DNA,NULL,DNA Center / Upgrade assistance,Upgrade,SDA,NULL,CISCO_SYSTEMS_DEMO_LOAN,2018-09-24,DNA - Software-Defined Access,sda_closed_case_1,2018-09-24T15:17:20.841Z,685249538,5ba9000092f2c40018c6228a,NULL,DNA_Center_Sensor_Management,NULL
1.2.2,EAST_SIDE_UNION_HIGH_SCHOOL,AMER,NULL,Upgrade,Cisco Bug CSCvj92127,Upgrade,SDA,201300114,EAST_SIDE_UNION_HIGH_SCHOOL,2018-07-15,DNA___Software_Defined_Access,sda_new_case_1,2018-07-15T21:03:44.631Z,684831643,5b4bb6b0e55432001981f513,3,Appliance_sd_access,SDNMGMT
1.2.2,SKYCITY_AUCKLAND_HOLDINGS_LTD,AMER,NULL,Upgrade,CCO ID: skycitynz][S/N: FCH2207V09T] Cisco DNA Centre Upgrade and Factory Reset,Upgrade,SDA,201398000,SKYCITY_AUCKLAND_HOLDINGS_LTD,2018-06-12,DNA___Software_Defined_Access,sda_new_case_1,2018-06-12T23:16:12.079Z,684641010,5b20543ca75a8e0018f4db5b,3,Appliance_sd_access,SDNMGMT
1.2.2,FACEBOOK,AMER,NULL,NULL,DNA Hardware appliance ver 1.2.2,Upgrade,SDA,NULL,FACEBOOK,2018-08-10,DNA___Software_Defined_Access,sda_new_case_1,2018-08-10T18:42:36.605Z,685009191,5b6ddc9c9d93ad0017fff939,3,Appliance_sd_access,NULL
1.2.2,NULL,AMER,US-SSPT-DNA,Upgrade,IHC: DNAC is not using its proxy to reach ciscoconnect.com for updates,Upgrade,SDA,NULL,WORLD_WIDE_TECHNOLOGY_INC,2018-08-14,DNA - Software-Defined Access,sda_closed_case_1,2018-08-14T22:37:26.248Z,685030129,5b7359a6b463d6001ae49412,NULL,DNA_Center_Appliance__SD_Access_,NULL
1.1.7,NULL,AMER,NULL,NULL,Delayed host onboarding,Upgrade,SDA,NULL,PRIME_THERAPEUTICS_LLC,2018-06-19,NULL,sda_closed_case_2,2018-06-19T21:31:14.245Z,684676150,5b2976223e681b1940665321,NULL,DNA_Center_Appliance__SD_Access_,NULL
1.1.7,BERLIAN_SISTEM_INFORMASI,EMEA,NULL,Upgrade,DNAC//not showing maglev catalog system_update_package display,Upgrade,SDA,94432131,BERLIAN_SISTEM_INFORMASI,2018-07-11,DNA___Software_Defined_Access,sda_new_case_1,2018-07-11T07:32:21.077Z,684806114,5b45b2850c7422001780c5d7,3,Appliance_sd_access,IPCUCS
1.1.7,CISCO_EXTERNAL,EMEA,NULL,Upgrade,DNAC upgrade failure,Upgrade,SDA,NULL,C3_TO_BE_ASSIGNED_CPR_COMPANY,2018-06-26,DNA___Software_Defined_Access,sda_new_case_1,2018-06-26T08:31:15.450Z,684711629,5b31f9d3f8f6030017afef32,3,Appliance_sd_access,NULL
1.1.7,TERAMACH_TECHNOLOGIES,AMER,NULL,Upgrade,DNAC system update failed,Upgrade,SDA,NULL,TERAMACH_TECHNOLOGIES,2018-07-24,DNA___Software_Defined_Access,sda_new_case_1,2018-07-24T18:01:52.209Z,684892622,5b5769902b4f5c001d1e1d8b,3,Appliance_sd_access,NULL
1.1.7,UNIV_OF_CALIFORNIA_LOS_ANGELES,AMER,NULL,NULL,DNA// upgrade,Upgrade,SDA,NULL,UNIV_OF_CALIFORNIA_LOS_ANGELES,2018-09-14,DNA___Software_Defined_Access,sda_new_case_1,2018-09-14T20:40:53.382Z,685233435,5b9c1cd5b236410020ab998c,3,Appliance_sd_access,CTSQS
1.1.7,DEL_NORTE_COUNTY_UNIFIED_SCHOO*,AMER,NULL,Upgrade,DNA ISE Integration Failing,Upgrade,SDA,201447077,DEL_NORTE_COUNTY_UNIFIED_SCHOOL_DISTRICT,2018-06-10,DNA___Software_Defined_Access,sda_new_case_1,2018-06-10T17:42:12.849Z,684626079,5b1d62f45fd0a100200e2c7a,3,Appliance_sd_access,SDNMGMT
1.1.7,CAIXA_DE_PREVIDENCIA_DOS_FUNC.*,AMER,NULL,Upgrade,Upgrade Fail,Upgrade,SDA,201408487,CAIXA_DE_PREVIDENCIA_DOS_FUNC._DO_BANCO_DO_BRASIL,2018-07-05,DNA___Software_Defined_Access,sda_new_case_1,2018-07-05T14:39:55.209Z,684774495,5b3e2dbbfe11df0021326514,3,Appliance_sd_access,SDNMGMT
1.1.7,LR_MOD,EMEA,NULL,NULL,Need help on Cisco DNA Center upgrade from 1.1.7 to 1.2.3,Upgrade,SDA,201669005,LR_MOD,2018-09-10,DNA___Software_Defined_Access,sda_new_case_1,2018-09-10T11:15:48.483Z,685194048,5b96526402a8ec0022941901,3,Appliance_sd_access,SDNMGMT
1.1.7,NULL,AMER,US-SSPT-DNA,NULL,DN1-HW-APL// Upgrade assistance.,Backup_Restore Upgrade,SDA,NULL,C3_TO_BE_ASSIGNED_CPR_COMPANY,2018-09-14,DNA - Software-Defined Access,sda_closed_case_1,2018-09-14T16:43:45.143Z,685158300,5b9be54166a9f70019fbb946,NULL,DNA_Center_Appliance__SD_Access_,NULL
1.1.7,NULL,AMER,NULL,NULL,Delayed host onboarding,Upgrade,SDA,NULL,PRIME_THERAPEUTICS_LLC,2018-06-19,NULL,sda_closed_case_2,2018-06-19T21:31:08.389Z,684676150,5b29761c45980419409093bf,NULL,DNA_Center_Appliance__SD_Access_,NULL
1.1.8,DARPA,AMER,NULL,NULL,DNA upgrade from 1.1.4 to 1.2.4,Upgrade,SDA,201356861,DARPA,2018-09-13,DNA___Software_Defined_Access,sda_new_case_1,2018-09-13T17:44:53.388Z,685224529,5b9aa21583cf6a00215948bb,3,Appliance_sd_access,SDNMGMT
1.1.8,STATE_OF_MAINE,AMER,NULL,NULL,DNA center rollback,Upgrade,SDA,200895390,STATE_OF_MAINE,2018-09-04,DNA___Software_Defined_Access,sda_new_case_1,2018-09-04T19:26:07.728Z,685157661,5b8edc4f28f43d00140ded7e,3,Assurance,SDNMGMT
1.1.8,TECH_MAHINDRA_LTD,EMEA,NULL,Upgrade,DNA is not getting upgraded from 1.1.8 to 1.2.2,Upgrade,SDA,201320715,TECH_MAHINDRA_LTD,2018-07-23,DNA___Software_Defined_Access,sda_new_case_1,2018-07-23T11:39:05.833Z,684879883,5b55be59c042f100154faac2,3,Appliance_sd_access,SDNMGMT
1.1.8,CISCO_EXTERNAL,AMER,NULL,NULL,DNA Center - upgrade from 1.1.8 to 1.2,Upgrade,SDA,NULL,C3_TO_BE_ASSIGNED_CPR_COMPANY,2018-09-07,DNA___Software_Defined_Access,sda_new_case_1,2018-09-07T17:04:13.913Z,685185318,5b92af8dabd63a001526e77c,3,Appliance_sd_access,NULL
1.1.8,ICA_GRUPPEN_AB,EMEA,NULL,NULL,Update DNA center from 1.1.8 to 1.2.4,Upgrade,SDA,201291644,ICA_GRUPPEN_AB,2018-09-18,DNA___Software_Defined_Access,sda_new_case_1,2018-09-18T10:55:27.452Z,685248033,5ba0d99f372c28001742afe3,3,Appliance_sd_access,C9500
1.1.8,NULL,EMEA,NULL,NULL,Infosys SDA EFT DNAC upgrade from 1.1.8 to 1.2.3,Upgrade,SDA,NULL,INFOSYS_LIMITED,2018-08-28,NULL,sda_closed_case_2,2018-08-28T07:02:36.805Z,685102928,5b84f38c5a49501b02d4c18f,NULL,DNA_Center_Appliance__SD_Access_,NULL
1.1.8,BALDWIN_EMC,AMER,NULL,Upgrade,DNA provisioning failing,Upgrade,SDA,200905575,BALDWIN_EMC,2018-08-09,DNA___Software_Defined_Access,sda_new_case_1,2018-08-09T18:50:39.939Z,685001202,5b6c8cff19908300154f565c,2,Appliance_sd_access,SDNMGMT
1.1.8,NULL,AMER,US-SSPT-DNA,NULL,DNA-C stuck downloading application package and cannot download system package.,Upgrade,SDA,201448320,HENRY_MAYO_NEWHALL_MEMOR,2018-09-20,DNA - Software-Defined Access,sda_closed_case_1,2018-09-20T16:14:14.779Z,685253017,5ba3c7562d4a15001584721e,NULL,DNA_Center_Appliance__SD_Access_,SDNMGMT
1.1.8,CITY_OF_PITTSBURG,AMER,NULL,Upgrade,"DNAC server errors, unable to update",Upgrade,SDA,201554351,CITY_OF_PITTSBURG,2018-08-21,DNA___Software_Defined_Access,sda_new_case_1,2018-08-21T15:59:48.532Z,685072045,5b7c36f4a2ce1d00221dda31,3,Appliance_sd_access,SDNMGMT
1.1.8,NULL,APAC,US-SSPT-DNA,NULL,network-visibility upgrade Error,Upgrade,SDA,201489772,C3_TO_BE_ASSIGNED_CPR_COMPANY,2018-09-06,DNA - Software-Defined Access,sda_closed_case_1,2018-09-06T00:11:50.981Z,684983153,5b9070c68c01c9002284ca11,NULL,DNA_Center_Appliance__SD_Access_,SDNMGMT
1.1.6,NETAPP_HONG_KONG_LTD_TAIWAN_BR*,AMER,NULL,Upgrade,DNA-C software upgrade issue,Upgrade,SDA,201255536,NETAPP_HONG_KONG_LIMITED_TAIWAN_BRANCH,2018-07-12,DNA___Software_Defined_Access,sda_new_case_1,2018-07-12T12:52:44.766Z,684816315,5b474f1c4874720015a3abba,3,Appliance_sd_access,C9300
1.1.6,CISCO_EXTERNAL,APAC,NULL,NULL,DNAC version upgrade from 1.1.6 to 1.2.3,Upgrade,SDA,NULL,C3_TO_BE_ASSIGNED_CPR_COMPANY,2018-08-31,DNA___Software_Defined_Access,sda_new_case_1,2018-08-31T04:33:12.001Z,685137895,5b88c508a0389f001349f3af,3,Appliance_sd_access,NULL
1.1.6,ICA_GRUPPEN_AB,EMEA,NULL,Upgrade,Unable to upgrade DNA Center,Upgrade,SDA,201291644,ICA_GRUPPEN_AB,2018-06-12,DNA___Software_Defined_Access,sda_new_case_1,2018-06-12T07:14:04.702Z,684634763,5b1f72bcbeb24e001daf714c,3,Appliance_sd_access,C9500
1.1.6,ARM__INC.__AUSTIN_OFFI,AMER,NULL,Upgrade,DNA Center not updating App Updates,Upgrade,SDA,201432702,ARM__INC.__AUSTIN_OFFICE,2018-06-11,DNA___Software_Defined_Access,sda_new_case_1,2018-06-11T13:35:39.274Z,684629269,5b1e7aab569a2a00184e8a29,3,Appliance_sd_access,C9500
1.1.6,NULL,EMEA,EURO-SSPT-DNA,Upgrade,Proactive TAC for DNAC upgrade from 1.1.6 to 1.1.8,Upgrade,SDA,201361902,INFOSYS_LIMITED,2018-08-03,DNA - Software-Defined Access,sda_closed_case_1,2018-08-03T11:20:27.275Z,684910084,5b643a7baaa48600141580fd,NULL,DNA_Center_Appliance__SD_Access_,SDNMGMT
1.1.6,ASTRA_ZENECA_MEDIMMUNE_LTD,EMEA,NULL,Upgrade,Proactive Case DNA Upgrade for 1.1.7,Upgrade,SDA,95796064,ASTRA_ZENECA_MEDIMMUNE_LIMITED,2018-06-26,DNA___Software_Defined_Access,sda_new_case_1,2018-06-26T09:53:21.951Z,684712667,5b320d11d02bc40013bd3133,3,Appliance_sd_access,SDNMGMT
1.1.6,WIPRO_LTD,EMEA,NULL,Upgrade,Switching to TACACS in SDA fabric.,Upgrade,SDA,201046038,WIPRO_LTD,2018-06-12,DNA___Software_Defined_Access,sda_new_case_1,2018-06-12T06:17:35.818Z,684634528,5b1f657f23ce55001f49d706,3,Appliance_sd_access,UCSC
1.2.0,SYNOVUS,AMER,NULL,Upgrade,DNA upgraded to 1.2 App updates not downloading,Upgrade,SDA,201012303,Synovus,2018-06-25,DNA___Software_Defined_Access,sda_new_case_1,2018-06-25T18:21:42.043Z,684708691,5b3132b680920b0021d0b462,3,Appliance_sd_access,SDNMGMT
1.2.0,SPIE_ICS_AG,EMEA,NULL,Upgrade,DNA Center not working anymore (http),Upgrade,SDA,95204993,SPIE_ICS_AG,2018-06-11,DNA___Software_Defined_Access,sda_new_case_1,2018-06-11T08:15:22.609Z,684627677,5b1e2f9a8c6ad0002213aba3,3,Appliance_sd_access,SDNMGMT
1.2.0,AMS.NET,APAC,NULL,Upgrade,upgrade to DNAC version 1.2 fails,Upgrade,SDA,200264966,AMS.net,2018-06-12,DNA___Software_Defined_Access,sda_new_case_1,2018-06-12T04:08:11.112Z,684634172,5b1f472b0ef4e8001b1beb1b,3,Appliance_sd_access,SDNMGMT
1.2.0,NULL,AMER,US-SSPT-DNA,NULL,DNAC 1.2.2 // Unable to see SD Access Fabric after upgrade,Upgrade,SDA,201017156,CRAVATH,2018-09-13,DNA - Software-Defined Access,sda_closed_case_1,2018-09-13T21:18:56.291Z,684881284,5b9ad440af7e8b001fe5bf9a,NULL,DNA_Center_Appliance__SD_Access_,SDNMGMT
1.2.0,CRAVATH,AMER,NULL,Upgrade,Cluster upgrade failure error,Upgrade,SDA,201017156,CRAVATH,2018-07-12,DNA___Software_Defined_Access,sda_new_case_1,2018-07-12T14:32:05.323Z,684817309,5b476665386939001548f1ea,3,Appliance_sd_access,SDNMGMT
1.2.0,CISCO_SYS_INC,AMER,NULL,Upgrade,DNAC hung after applying system updates,Upgrade,SDA,NULL,CISCO_SYSTEMS_INC,2018-06-20,DNA___Software_Defined_Access,sda_new_case_1,2018-06-20T15:42:20.943Z,684682872,5b2a75dc7660100013e8741e,3,Appliance_sd_access,NULL
1.2.0,ROCKWELL_COLLINS,AMER,NULL,Upgrade,DNA -  system version 1.2.3.4.5.56 - TEST,Upgrade,SDA,201277433,ROCKWELL_COLLINS,2018-06-14,DNA___Software_Defined_Access,sda_new_case_1,2018-06-14T16:25:03.334Z,684652790,5b2296df9f9a9f001b7b7cdc,3,Assurance,C9500
1.2.0,KB_SECURITIES,EMEA,NULL,Upgrade,DNA-Center Cluster ISSUE,Upgrade,SDA,201346732,KB_SECURITIES,2018-06-18,DNA___Software_Defined_Access,sda_new_case_1,2018-06-18T07:32:44.632Z,684664235,5b27601c21394e002106c697,3,Appliance_sd_access,SDNMGMT
1.2.0,UNIV_OF_QUEENSLAND,APAC,NULL,Upgrade,DNA-C Upgrade failed,Upgrade,SDA,91670833,UNIV_OF_QUEENSLAND,2018-06-19,DNA___Software_Defined_Access,sda_new_case_1,2018-06-19T02:30:37.977Z,684670874,5b286acdef84e8001d63f50b,3,Appliance_sd_access,SDNMGMT
1.2.0,POINT72_ASSET_MNGT_LP,AMER,NULL,Upgrade,DNA Center //  Application Updates Failing/SSL Certificate Assistance,Upgrade,SDA,201506564,POINT72_ASSET_MANAGEMENT_LP,2018-06-11,DNA___Software_Defined_Access,sda_new_case_1,2018-06-11T18:06:53.814Z,684631667,5b1eba3d744c62001d487b07,3,Appliance_sd_access,SDNMGMT
1.2.1,CISCO_EXTERNAL,AMER,NULL,Upgrade,DNA Center 1.2 Upgrade Failure,Upgrade,SDA,NULL,C3_TO_BE_ASSIGNED_CPR_COMPANY,2018-06-27,DNA___Software_Defined_Access,sda_new_case_1,2018-06-27T22:10:48.619Z,684726212,5b340b68fca36b001c9ec3cf,3,Appliance_sd_access,NULL
1.2.1,GULFSTREAM_AEROSPACE,AMER,NULL,NULL,DNA - needs assistance with resolving an update,Upgrade,SDA,1476113,GULFSTREAM_AEROSPACE,2018-09-17,DNA___Software_Defined_Access,sda_new_case_1,2018-09-17T20:00:50.071Z,685244302,5ba007f2713abd0022baa6b0,3,Assurance,C9500
1.2.1,NULL,AMER,NULL,Upgrade,DN1-HW-APL //  DN1 Center Issues,Upgrade,SDA,NULL,AVANGRID_MANAGEMENT_CO_LLC,2018-05-09,DNA___Software_Defined_Access,sda_new_case_1,2018-05-09T20:48:42.752Z,684457701,5af35eaafe097500215e1eb6,1,Switching,NULL
1.2.1,KEYNET_AG,EMEA,NULL,Upgrade,Site not assigned to fabric after DNA-C update to 1.2.1,Upgrade,SDA,94979951,KEYNET_AG,2018-06-26,DNA___Software_Defined_Access,sda_new_case_1,2018-06-26T06:21:01.558Z,684711721,5b31db4d6bf94c001e590f7a,3,Appliance_sd_access,C9300
1.2.1,KB_SECURITIES,EMEA,NULL,Upgrade,DNA-Center Upgrad fail (We are not able to update 1.2.1 to 1.2.2),Upgrade,SDA,201346732,KB_SECURITIES,2018-07-12,DNA___Software_Defined_Access,sda_new_case_1,2018-07-12T11:17:09.176Z,684815749,5b4738b59b11fb001ec363f7,2,Appliance_sd_access,SDNMGMT
1.2.1,CISCO_EXTERNAL,AMER,NULL,Upgrade,DNAC stuck during upgrade,Upgrade,SDA,NULL,C3_TO_BE_ASSIGNED_CPR_COMPANY,2018-07-23,DNA___Software_Defined_Access,sda_new_case_1,2018-07-23T13:01:31.894Z,684880404,5b55d1ab21e3120016d2383f,3,Appliance_sd_access,NULL
1.2.1,POINT72_ASSET_MNGT_LP,APAC,NULL,Upgrade,DNAC Stuck doing Apps updates,Upgrade,SDA,201506564,POINT72_ASSET_MANAGEMENT_LP,2018-07-02,DNA___Software_Defined_Access,sda_new_case_1,2018-07-02T00:43:38.691Z,684744273,5b39753a17e99c0013c49f4f,3,Appliance_sd_access,SDNMGMT
1.2.1,SANTANDER,EMEA,NULL,Upgrade,DNAC Upgrade packages failing,Upgrade,SDA,201476976,SANTANDER,2018-07-05,DNA___Software_Defined_Access,sda_new_case_1,2018-07-05T09:33:08.191Z,684772661,5b3de5d48dca0d002156ca97,1,Appliance_sd_access,SDNMGMT
1.1.1,CISCO_EXTERNAL,AMER,NULL,Upgrade,Error when attempting to upgrade to later 1.1 release,Upgrade,SDA,NULL,C3_TO_BE_ASSIGNED_CPR_COMPANY,2018-06-18,DNA___Software_Defined_Access,sda_new_case_1,2018-06-18T16:58:13.126Z,684667909,5b27e4a57f9936001ad825d6,3,Appliance_sd_access,NULL
1.1.1,NULL,EMEA,NULL,Upgrade,"DN1-HW-APL// needs patch 2 and a 1.12 update, case 1119644094,33320203214",Upgrade,SDA,201118943,NETFAST_TECHNOLOGY_SOLUTIONS_INC,2018-03-27,DNA___Software_Defined_Access,sda_new_case_1,2018-03-27T11:23:56.843Z,684212964,5aba29cc6e587a001292595c,3,Appliance_sd_access,SDNMGMT
1.1.1,KOMPAS_GRAMEDIA,AMER,NULL,Upgrade,DNA Center 1.1.1 Fail To Install Upgrade Main System 1.1.8,Upgrade,SDA,201206298,KOMPAS_GRAMEDIA,2018-07-26,DNA___Software_Defined_Access,sda_new_case_1,2018-07-26T14:22:38.394Z,684908009,5b59d92ed81a5f0017b85108,3,Appliance_sd_access,SDNMGMT
1.1.1,NULL,AMER,US-SSPT-DNA,NULL,"After Packages updates and installs, We can not https or ssh to DNA-C appliance",Upgrade,SDA,201169075,EDWARD_ELMHURST_HEALTHCARE,2018-09-24,DNA - Software-Defined Access,sda_closed_case_1,2018-09-24T15:30:04.554Z,685258807,5ba902fc89d6530019371547,NULL,DNA_Center_Appliance__SD_Access_,SDNMGMT
1.1.1,KOMPAS_GRAMEDIA,APAC,NULL,Upgrade,can't download DNA v 1.1.7,Upgrade,SDA,201206298,KOMPAS_GRAMEDIA,2018-07-05,DNA___Software_Defined_Access,sda_new_case_1,2018-07-05T05:05:40.911Z,684771469,5b3da7243d5de000148079ec,3,Appliance_sd_access,SDNMGMT
1.1.4,CISCO_EXTERNAL,EMEA,NULL,Upgrade,EFT DNAC system update,Upgrade,SDA,NULL,C3_TO_BE_ASSIGNED_CPR_COMPANY,2018-06-05,DNA___Software_Defined_Access,sda_new_case_1,2018-06-05T07:29:40.230Z,684595828,5b163be46f7080001e943ac5,3,Appliance_sd_access,NULL
1.1.4,CISCO_EXTERNAL,EMEA,NULL,Upgrade,Proactive case to upgrade DNAC to 1.2.3,Upgrade,SDA,NULL,C3_TO_BE_ASSIGNED_CPR_COMPANY,2018-08-23,DNA___Software_Defined_Access,sda_new_case_1,2018-08-23T09:01:24.856Z,685085690,5b7e77e4fa38a0001a6dcc42,3,Appliance_sd_access,NULL
1.1.4,MERCK_SHARP_&_DOHME_CORP,APAC,NULL,Upgrade,Device not coming up post code upgrade,Upgrade,SDA,200861142,MERCK_SHARP_&_DOHME_CORPORATION,2018-05-26,DNA___Software_Defined_Access,sda_new_case_1,2018-05-26T02:45:38.004Z,684549624,5b08ca522e5338001da35754,3,Switching,C4500X
1.1.4,NULL,APAC,NULL,Upgrade,DNA Center - Unable to Download iWAN App,Upgrade,SDA,201073667,JOHNSONVILLE_SAUSAGE__LLC,2018-04-26,DNA___Software_Defined_Access,sda_new_case_1,2018-04-26T00:43:34.002Z,684383608,5ae120b6566acc001af395ef,3,Appliance_sd_access,C9300
1.1.4,CISCO_EXTERNAL,AMER,NULL,Upgrade,DNA-C Upgrade POV,Upgrade,SDA,NULL,C3_TO_BE_ASSIGNED_CPR_COMPANY,2018-07-10,DNA___Software_Defined_Access,sda_new_case_1,2018-07-10T16:54:08.313Z,684801817,5b44e4b00b87f700201afad1,3,Assurance,NULL
1.1.4,WARTSILA_TECH_OY_AB,EMEA,NULL,Upgrade,DNA-C Can't download upgrades or applications from Cisco,Upgrade,SDA,201441701,WARTSILA_TECHNOLOGY_OY_AB,2018-06-20,DNA___Software_Defined_Access,sda_new_case_1,2018-06-20T10:04:59.664Z,684680312,5b2a26cb1d2950001df45ec7,2,Appliance_sd_access,SDNMGMT
