tech,workgroup,product_family,contract,title,script_name,sr_severity,sr_id,feature,theater,tech_dnac,subtech,company,_id,time,report_date
DNA___Software_Defined_Access,NULL,UCL,201102618,in reference to sr 684404033,sda_new_case_1,3,684442527,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,CREIGHTON_UNIVERSITY,5af0c66f7769eb00197b413c,2018-05-07T21:34:39.797Z,2018-05-07
DNA___Software_Defined_Access,NULL,NULL,NULL,Distribution switch is down C9500,sda_new_case_1,3,685957951,SDA,APAC,,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5c3c1b28f1bde3002189cab7,2019-01-14T05:16:24.991Z,2019-01-14
DNA___Software_Defined_Access,NULL,UCL,201102618,details in reference to sr 684404033,sda_new_case_1,3,684442754,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,CREIGHTON_UNIVERSITY,5af0d54cff59b4001e87aa73,2018-05-07T22:38:04.285Z,2018-05-07
DNA___Software_Defined_Access,NULL,SDNMGMT,201592444,[Proactive SR]: DNAC v1.2.5 upgrade to v1.2.6 - (03 Nov ~ 04 Nov),sda_new_case_1,2,685543233,SDA,APAC,,Appliance_sd_access,GITN_SDN_BHD,5bda8bae56b47e0017d19047,2018-11-01T05:14:22.801Z,2018-11-01
DNA___Software_Defined_Access,NULL,NULL,NULL,DNAC Deployment Proactive SR for MGM,,,683720185,SDA,AMER,DNA_Software_Defined_Access,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5a6e8544107f9b01febaf1d4,2018-01-05T16:06:51.195Z,
DNA___Software_Defined_Access,NULL,SDNMGMT,201508724,DNAC not receiving telemetry data from 3504 WLC or 9300 distribution switch,sda_new_case_1,3,685510144,SDA,AMER,,Appliance_sd_access,MLR_NETWORKS_LTD,5bd32348329db90021b08c7e,2018-10-26T14:23:04.970Z,2018-10-26
DNA___Software_Defined_Access,NULL,NULL,NULL,DNA-Center - CAP876967 - Switches incorrectly classified as distribution,sda_new_case_1,3,685270853,SDA,AMER,,Appliance_sd_access,PRESIDIO_NETWORKED_SOLUTIONS_LLC,5ba3ed5d5f503b0022baedb4,2018-09-20T18:56:29.368Z,2018-09-20
DNA___Software_Defined_Access,NULL,NULL,NULL,DNAC cluster process distribution is not working properly,sda_new_case_1,3,684771105,SDA,APAC,DNA_Software_Defined_Access,Appliance_sd_access,ADVANCED_INFORMATION_TECHNOLOGY_PUBLIC_COMPANY_LTD,5b3d8382ef288e001522cba3,2018-07-05T02:33:38.544Z,2018-07-05
DNA___Software_Defined_Access,NULL,SDNMGMT,201592444,[Proactive SR for customer's SDA Go-Live] Support for DNAC,sda_new_case_1,3,685536814,SDA,EMEA,,Appliance_sd_access,GITN_SDN_BHD,5bd9972556c59c0020c61686,2018-10-31T11:51:01.207Z,2018-10-31
DNA___Software_Defined_Access,NULL,NULL,NULL,[Proactive SR for customer's SDA Go-Live] Support for DNAC,sda_new_case_1,3,685235617,SDA,APAC,,Appliance_sd_access,C3_TO_BE_ASSIGNED_CPR_COMPANY,5b9dd4b044764d0022a092bd,2018-09-16T03:57:36.000Z,2018-09-16
